Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Victoria Island Lagos Victoria Island Victoria Island Lagos ","  7,000,000 ",Added 01 Mar 2021,33
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ajah Ajah Ajah Lagos ","  38,000,000 ",Added 28 Feb 2021,44
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 1 Ologolo Ologolo Lekki Lagos ","  900,000 ",Added 28 Feb 2021,11
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  10,000,000 ",Added 26 Feb 2021,33
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  5,000,000 ",Added 26 Feb 2021,11
5 BEDROOM DUPLEX FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  15,000,000 ",Added 26 Feb 2021,55
LAND FOR RENT,"


 Ligali Ayorinde Victoria Island Victoria Island Lagos ",  0 ,Added 26 Feb 2021,
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  15,000,000 ",Added 25 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Orchid Hotel Road, 2nd Toll Gate, Lekki, Lagos. Lekki Expressway Lekki Lagos ","  2,500,000 ",Added 25 Feb 2021,334
5 BEDROOM DUPLEX FOR RENT,"


 Megamound Estate Ikota Lekki Lagos ","  4,500,000 ",Added 25 Feb 2021,556
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Queens Drive Ikoyi Ikoyi Lagos ","  13,000,000 ",Added 24 Feb 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Queens Drive Ikoyi Ikoyi Lagos ","  11,000,000 ",Added 24 Feb 2021,33
COMMERCIAL PROPERTY FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  80,000,000 ",Added 24 Feb 2021,
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Queen's Drive Ikoyi Ikoyi Lagos ","  20,000,000 ",Added 24 Feb 2021,44
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Road Banana Island Ikoyi Lagos ","  6,000,000 ",Added 24 Feb 2021,22
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Road Banana Island Ikoyi Lagos ","  17,000,000 ",Added 24 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Road Banana Island Ikoyi Lagos ","  8,500,000 ",Added 24 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  10,000,000 ",Added 23 Feb 2021,33
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  7,500,000 ",Added 23 Feb 2021,32
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  23,000,000 ",Added 23 Feb 2021,33
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  8,000,000 ",Added 23 Feb 2021,22
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  28,000,000 ",Added 23 Feb 2021,44
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Banana Island Banana Island Ikoyi Lagos ","  25,000,000 ",Added 23 Feb 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  8,000,000 ",Added 23 Feb 2021,33
4 BEDROOM DUPLEX FOR RENT,"


 Lekki Ologolo Lekki Lagos ","  3,500,000 ",Added 23 Feb 2021,44
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Lekki Agungi Lekki Lagos ","  1,100,000 ",Added 23 Feb 2021,12
