Title,Location,Listing_Type,City,Location_Area,Price,Date_Added,Date_Updated,Beds,Baths,Toilets
2 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,6000000.0,2023-02-21,2023-02-21,2,3,3
3 BEDROOM HOUSE FOR RENT, Ikoyi Lagos ,Rent,Ikoyi,Island,10000000.0,2022-12-08,2023-02-21,3,3,4
3 BEDROOM BLOCK OF FLATS FOR RENT, Off Admiralty Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,5500000.0,2023-02-05,2023-02-21,3,3,4
3 BEDROOM BLOCK OF FLATS FOR RENT, Oniru Oniru Victoria Island Lagos ,Rent,Victoria Island,Island,6500000.0,2023-02-05,2023-02-21,3,3,4
3 BEDROOM TERRACE FOR RENT, Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,16000000.0,2023-01-05,2023-02-21,3,3,4
4 BEDROOM TOWNHOUSE FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,9000000.0,2023-02-20,2023-02-20,4,4,5
3 BEDROOM BLOCK OF FLATS FOR RENT, Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,9000000.0,2023-01-12,2023-02-20,3,3,4
4 BEDROOM DUPLEX FOR RENT, Orchid Lekki Lagos ,Rent,Lekki,Island,6500000.0,2023-02-09,2023-02-20,4,4,5
4 BEDROOM DUPLEX FOR RENT, Victoria Island Lagos ,Rent,Victoria Island,Island,20000000.0,2023-01-23,2023-02-20,4,4,5
4 BEDROOM DUPLEX FOR RENT, Ikota Lekki Lagos ,Rent,Lekki,Island,4500000.0,2023-02-01,2023-02-20,4,4,5
4 BEDROOM TERRACE FOR RENT, Osapa Lekki Lagos ,Rent,Lekki,Island,7500000.0,2022-12-14,2023-02-20,4,4,5
3 BEDROOM DUPLEX FOR RENT, Ikota Lekki Lagos ,Rent,Lekki,Island,50000000.0,2022-12-12,2023-02-20,3,3,4
5 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,15000000.0,2023-01-17,2023-02-20,5,5,6
HOUSE FOR RENT, Ikota Lekki Lagos ,Rent,Lekki,Island,2600000.0,2022-11-08,2023-02-20,0,0,0
4 BEDROOM DUPLEX FOR RENT, Ogombo Ajah Lagos ,Rent,Ajah,Island,3000000.0,2022-12-12,2023-02-20,4,0,0
COMMERCIAL PROPERTY FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,4000000.0,2023-01-13,2023-02-20,0,0,0
3 BEDROOM BLOCK OF FLATS FOR RENT, Ikoyi Ikoyi Lagos ,Rent,Ikoyi,Island,12000000.0,2023-01-13,2023-02-20,3,3,4
5 BEDROOM DUPLEX FOR RENT, Ikoyi Ikoyi Lagos ,Rent,Ikoyi,Island,25000000.0,2023-01-23,2023-02-20,5,5,6
5 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,30000000.0,2023-01-17,2023-02-20,5,5,6
3 BEDROOM BLOCK OF FLATS FOR RENT, Victoria Island Victoria Island Lagos ,Rent,Victoria Island,Island,13000000.0,2023-01-18,2023-02-20,3,3,4
3 BEDROOM DUPLEX FOR RENT, Ologolo Lekki Lagos ,Rent,Lekki,Island,6000000.0,2022-12-12,2023-02-20,3,0,0
10 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,45000000.0,2023-01-17,2023-02-20,,,
4 BEDROOM TERRACE FOR RENT, Ologolo Lekki Lagos ,Rent,Lekki,Island,8000000.0,2022-12-12,2023-02-20,4,4,5
4 BEDROOM DUPLEX FOR RENT, Chevron Drive Lekki Lagos ,Rent,Lekki,Island,6500000.0,2022-11-14,2023-02-20,4,0,0
4 BEDROOM DUPLEX FOR RENT, Ikoyi Ikoyi Lagos ,Rent,Ikoyi,Island,30000000.0,2023-01-18,2023-02-20,4,4,5
1 BEDROOM BLOCK OF FLATS FOR RENT, Oniru Victoria Island Lagos ,Rent,Victoria Island,Island,2300000.0,2023-01-18,2023-02-20,1,1,2
4 BEDROOM DUPLEX FOR RENT, Chevron Drive Lekki Lagos ,Rent,Lekki,Island,5000000.0,2022-12-23,2023-02-20,4,0,0
5 BEDROOM BLOCK OF FLATS FOR RENT, Victoria Island Victoria Island Lagos ,Rent,Victoria Island,Island,12500000.0,2023-01-23,2023-02-20,5,5,6
4 BEDROOM TERRACE FOR RENT, Osapa Lekki Lagos ,Rent,Lekki,Island,5500000.0,2022-12-13,2023-02-20,4,4,5
4 BEDROOM DUPLEX FOR RENT, Ikoyi Ikoyi Lagos ,Rent,Ikoyi,Island,15000000.0,2023-01-18,2023-02-20,4,4,5
3 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,6000000.0,2022-12-16,2023-02-20,3,3,4
4 BEDROOM BLOCK OF FLATS FOR RENT, Banana Island Road Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,12000000.0,2023-02-09,2023-02-20,4,4,5
3 BEDROOM BLOCK OF FLATS FOR RENT, Banana Island Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,16000000.0,2023-02-07,2023-02-20,3,3,4
5 BEDROOM DUPLEX FOR RENT, Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,85000000.0,2023-01-24,2023-02-20,5,5,6
4 BEDROOM DUPLEX FOR RENT, Chevron Drive Lekki Lagos ,Rent,Lekki,Island,5500000.0,2022-12-12,2023-02-20,4,0,0
4 BEDROOM TERRACE FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,15000000.0,2023-02-14,2023-02-20,4,4,5
5 BEDROOM BLOCK OF FLATS FOR RENT, Victoria Island Victoria Island Lagos ,Rent,Victoria Island,Island,15000000.0,2023-01-18,2023-02-20,5,5,6
4 BEDROOM DUPLEX FOR RENT, Ikate Elegushi Lekki Lagos ,Rent,Lekki,Island,7500000.0,2022-12-12,2023-02-20,4,0,0
3 BEDROOM BLOCK OF FLATS FOR RENT, Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,11000000.0,2023-01-12,2023-02-20,3,3,4
4 BEDROOM DUPLEX FOR RENT, Agungi Lekki Lagos ,Rent,Lekki,Island,6000000.0,2023-01-24,2023-02-20,4,4,5
5 BEDROOM DUPLEX FOR RENT, By Vintage Park Estate Ikate Elegushi Lekki Lagos ,Rent,Lekki,Island,15000000.0,2023-01-19,2023-02-20,5,5,6
DUPLEX FOR RENT, Ikate Elegushi Lekki Lagos ,Rent,Lekki,Island,6000000.0,2022-12-12,2023-02-20,0,0,0
3 BEDROOM BLOCK OF FLATS FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,18000000.0,2023-01-21,2023-02-20,3,3,4
3 BEDROOM DUPLEX FOR RENT, Ikate Elegushi Lekki Lagos ,Rent,Lekki,Island,3500000.0,2022-12-07,2023-02-20,3,0,0
4 BEDROOM TERRACE FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,7000000.0,2023-01-26,2023-02-20,4,4,5
5 BEDROOM DUPLEX FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,9000000.0,2023-01-13,2023-02-20,5,5,6
2 BEDROOM BLOCK OF FLATS FOR RENT, Lekki Right Lekki Lagos ,Rent,Lekki,Island,4000000.0,2023-01-19,2023-02-20,2,2,3
3 BEDROOM BLOCK OF FLATS FOR RENT, Lekki Right Lekki Lagos ,Rent,Lekki,Island,4500000.0,2023-01-18,2023-02-20,3,3,4
4 BEDROOM TERRACE FOR RENT, Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,12000000.0,2023-02-09,2023-02-20,4,4,5
3 BEDROOM BLOCK OF FLATS FOR RENT, Banana Island Ikoyi Lagos ,Rent,Ikoyi,Island,15000000.0,2023-01-20,2023-02-20,3,3,4
6 BEDROOM DUPLEX FOR RENT, Off Admiralty Way Lekki Phase 1 Lekki Lagos ,Rent,Lekki,Island,25000000.0,2023-02-03,2023-02-20,6,6,7
4 BEDROOM DUPLEX FOR RENT, Ajah Ajah Lagos ,Rent,Ajah,Island,5000000.0,2022-11-22,2023-02-20,4,4,4
